AVG R2 SCORE: 0.9540006018476159, SYMBOLIC: 0.9412506902982402
AVG R2 SCORE: 0.96830741936185, SYMBOLIC: NaN
AVG R2 SCORE: 0.9868102006475848, SYMBOLIC: 0.9700795306522701
AVG R2 SCORE: 0.9653615058650112, SYMBOLIC: 0.9238819281419162
AVG R2 SCORE: 0.8849760016042383, SYMBOLIC: 0.8832647734482442
AVG R2 SCORE: 0.4236265058981872, SYMBOLIC: 0.9229466043409676
AVG R2 SCORE: 0.9759206951734314, SYMBOLIC: 0.9418806887923625
AVG R2 SCORE: 0.9879474612095394, SYMBOLIC: 0.9744805895778901
AVG R2 SCORE: 0.9886567669944465, SYMBOLIC: 0.9577508293115143
AVG R2 SCORE: 0.9684023829154181, SYMBOLIC: NaN
AVG R2 SCORE: 0.9792036258384633, SYMBOLIC: 0.949407234698453
AVG R2 SCORE: 0.9704023585745609, SYMBOLIC: 0.9147723398260679
AVG R2 SCORE: 0.9873825486740677, SYMBOLIC: 0.9311484685114131
AVG R2 SCORE: 0.9547781417368515, SYMBOLIC: NaN
AVG R2 SCORE: 0.9833496306460408, SYMBOLIC: 0.9635936553669235
AVG R2 SCORE: 0.9873734391905338, SYMBOLIC: 0.9877169362507604
AVG R2 SCORE: 0.9724879365163344, SYMBOLIC: 0.9392347623395605
AVG R2 SCORE: 0.9567087366169172, SYMBOLIC: 0.7360417049732004
AVG R2 SCORE: 0.9125655179849912, SYMBOLIC: 0.8767051026880051
AVG R2 SCORE: 0.9746382211737268, SYMBOLIC: 0.9226329714096835
AVG R2 SCORE: -0.09342948812152119, SYMBOLIC: -2.480980344827584
AVG R2 SCORE: 0.977837214264088, SYMBOLIC: 0.9467006978165757
AVG R2 SCORE: 0.9530637561061219, SYMBOLIC: 0.92386229444939
AVG R2 SCORE: 0.9730502704701033, SYMBOLIC: 0.916621809324797
AVG R2 SCORE: 0.9587717788446191, SYMBOLIC: 0.884785390569907
AVG R2 SCORE: -0.2383497744719536, SYMBOLIC: NaN
AVG R2 SCORE: 0.9707143535586437, SYMBOLIC: 0.9631510247130316
AVG R2 SCORE: 0.9864684840006316, SYMBOLIC: 0.9117644088892304
AVG R2 SCORE: 0.9703383207387805, SYMBOLIC: 0.9305418204666336
AVG R2 SCORE: 0.9714459315744651, SYMBOLIC: 0.9383918315923624
