AVG R2 SCORE: 0.9668532970327594, SYMBOLIC: 0.9667525727157382
AVG R2 SCORE: 0.8546080332073533, SYMBOLIC: 0.8548306583897008
AVG R2 SCORE: 0.9504453326823644, SYMBOLIC: 0.9564526414323584
AVG R2 SCORE: 0.9669040325022988, SYMBOLIC: 0.9670542054044582
AVG R2 SCORE: 0.9719981251829598, SYMBOLIC: 0.9719213043967604
AVG R2 SCORE: 0.9681860092901855, SYMBOLIC: 0.9681469798855357
AVG R2 SCORE: 0.9720247138475014, SYMBOLIC: 0.9720105881703266
AVG R2 SCORE: 0.9677290552441249, SYMBOLIC: 0.9677033578252254
AVG R2 SCORE: 0.9721475906666621, SYMBOLIC: 0.9720404888560179
AVG R2 SCORE: 0.9720681642187075, SYMBOLIC: 0.9719941142765969
AVG R2 SCORE: 0.9717382728475269, SYMBOLIC: 0.9717589343227964
AVG R2 SCORE: 0.9598507126110658, SYMBOLIC: 0.9594929041769762
AVG R2 SCORE: 0.9674696433230278, SYMBOLIC: 0.9673489192278911
AVG R2 SCORE: 0.9672421024519431, SYMBOLIC: 0.9672338397204199
AVG R2 SCORE: 0.9520050783431607, SYMBOLIC: 0.9524055166649357
AVG R2 SCORE: 0.9524877144887527, SYMBOLIC: 0.9473073484312611
AVG R2 SCORE: 0.9569037223305357, SYMBOLIC: 0.9566749520293737
AVG R2 SCORE: 0.8991880045350388, SYMBOLIC: 0.9014602684629555
AVG R2 SCORE: 0.957508437099624, SYMBOLIC: 0.9575195273484077
AVG R2 SCORE: 0.8163923363821195, SYMBOLIC: 0.8165374013633085
AVG R2 SCORE: 0.955705964649777, SYMBOLIC: 0.9555591439545668
AVG R2 SCORE: 0.8186667872487189, SYMBOLIC: 0.8190022493429051
AVG R2 SCORE: 0.8308817462015042, SYMBOLIC: NaN
AVG R2 SCORE: 0.2157425517388925, SYMBOLIC: NaN
AVG R2 SCORE: 0.9540126180837868, SYMBOLIC: 0.9538416578879688
AVG R2 SCORE: 0.9716928208582318, SYMBOLIC: 0.9716243818144321
AVG R2 SCORE: 0.8338215927908721, SYMBOLIC: 0.83210166807304
AVG R2 SCORE: 0.8878544549293839, SYMBOLIC: 0.8887354851479805
AVG R2 SCORE: -1.6505292880147415, SYMBOLIC: -1.6323738868363016
AVG R2 SCORE: -3.8105676452269917, SYMBOLIC: NaN
AVG R2 SCORE: 0.8430780722915753, SYMBOLIC: 0.8439247431556889
AVG R2 SCORE: 0.8668254389964282, SYMBOLIC: 0.870564222173071
AVG R2 SCORE: 0.9715625956542618, SYMBOLIC: 0.9718669412967783
AVG R2 SCORE: -0.08220042144579214, SYMBOLIC: NaN
AVG R2 SCORE: 0.9544358129189033, SYMBOLIC: 0.8858056726336809
AVG R2 SCORE: 0.8872784260337879, SYMBOLIC: 0.8877065825441082
AVG R2 SCORE: 0.7421294426613219, SYMBOLIC: 0.748417180882511
AVG R2 SCORE: 0.622693195648029, SYMBOLIC: 0.6229194604594804
AVG R2 SCORE: 0.9567010422978914, SYMBOLIC: 0.9566376523944208
AVG R2 SCORE: 0.9121813244727571, SYMBOLIC: NaN
AVG R2 SCORE: 0.9512506164940112, SYMBOLIC: 0.9514541568005109
AVG R2 SCORE: 0.9509141163737733, SYMBOLIC: 0.947328763565727
AVG R2 SCORE: 0.9272056194784704, SYMBOLIC: 0.9271636480085975
AVG R2 SCORE: 0.9719755591320827, SYMBOLIC: 0.971920547336892
AVG R2 SCORE: 0.896143651040738, SYMBOLIC: 0.8995180212661666
AVG R2 SCORE: -0.09688819524618643, SYMBOLIC: NaN
AVG R2 SCORE: -0.12202701218820203, SYMBOLIC: NaN
AVG R2 SCORE: 0.9673427009855323, SYMBOLIC: 0.9673107693070925
AVG R2 SCORE: 0.8126790413365372, SYMBOLIC: 0.7937498418906197
AVG R2 SCORE: -0.10875749564779014, SYMBOLIC: -0.10679265383517825
AVG R2 SCORE: 0.9564626655234549, SYMBOLIC: 0.9574349419504024
AVG R2 SCORE: 0.37541961887670555, SYMBOLIC: 0.3775184118707499
AVG R2 SCORE: -0.0028479122920794945, SYMBOLIC: NaN
AVG R2 SCORE: 0.8722905214852651, SYMBOLIC: 0.8703975807394869
AVG R2 SCORE: 0.9565296630414344, SYMBOLIC: 0.9563334764089502
AVG R2 SCORE: 0.8240723387223331, SYMBOLIC: 0.7158773649334326
AVG R2 SCORE: 0.9541940220642455, SYMBOLIC: 0.9516060662488328
AVG R2 SCORE: -4.619257310773745, SYMBOLIC: NaN
AVG R2 SCORE: 0.9719070575225893, SYMBOLIC: 0.97186022517857
