AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.9704674476273295, SYMBOLIC: 0.9624246918500753
AVG R2 SCORE: 0.6418945610755558, SYMBOLIC: 0.5929024708756543
AVG R2 SCORE: 0.908195146485636, SYMBOLIC: -38.096331452903904
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -14.780064373416884, SYMBOLIC: -4.346543117776485
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.9538368338114561, SYMBOLIC: 0.9539059437476072
AVG R2 SCORE: 0.9595486683548435, SYMBOLIC: 0.9594965730731618
AVG R2 SCORE: 0.9410651319566272, SYMBOLIC: 0.9438152990454542
AVG R2 SCORE: 0.953686739740633, SYMBOLIC: 0.9537880281577286
AVG R2 SCORE: 0.6611960276137969, SYMBOLIC: 0.6668177948416205
AVG R2 SCORE: 0.9536668546934245, SYMBOLIC: 0.9538948666085212
AVG R2 SCORE: 0.8522796596317841, SYMBOLIC: 0.23728404046884324
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -0.02216067787163667, SYMBOLIC: -0.022276220631765764
AVG R2 SCORE: -0.021739780418638555, SYMBOLIC: -0.021994768212939553
AVG R2 SCORE: -4.057597915435533, SYMBOLIC: -4.220858013244975
AVG R2 SCORE: -0.3800104275175405, SYMBOLIC: -0.37988622513245607
AVG R2 SCORE: -5.400856812395443, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.7042662660384426, SYMBOLIC: 0.5021833440831023
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.8798334738071146, SYMBOLIC: 0.883083221081489
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -0.004409817260189741, SYMBOLIC: -0.004178232859280623
AVG R2 SCORE: -0.003979792691468698, SYMBOLIC: -0.007847283913860525
AVG R2 SCORE: -0.007031304541194716, SYMBOLIC: -0.008383492675092918
AVG R2 SCORE: -0.18201801536104045, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.9530977147684306, SYMBOLIC: 0.9080410995478211
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -0.4447368812103407, SYMBOLIC: -0.4553978077196839
AVG R2 SCORE: -0.4796292743883448, SYMBOLIC: NaN
AVG R2 SCORE: 0.0002116422635198012, SYMBOLIC: -0.00022772575094578973
AVG R2 SCORE: -0.009458811711940407, SYMBOLIC: -0.00945723346286187
AVG R2 SCORE: 0.9762393847908488, SYMBOLIC: 0.9746596203644038
AVG R2 SCORE: -1.158999763585643, SYMBOLIC: -1.1650327349869534
AVG R2 SCORE: 0.661519223555377, SYMBOLIC: NaN
AVG R2 SCORE: -1.5725413847227654, SYMBOLIC: -1.4418967049866798
AVG R2 SCORE: -0.6924094597847944, SYMBOLIC: -0.8157318731454655
AVG R2 SCORE: -3.1557897715546677, SYMBOLIC: -3.1491043546974256
AVG R2 SCORE: -1.2836705156188482, SYMBOLIC: -0.4022010669127257
AVG R2 SCORE: -10.770548887190628, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.9930862970229897, SYMBOLIC: 0.9890490297573267
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -2.3197866735214756, SYMBOLIC: -2.3369766302897865
AVG R2 SCORE: -0.002803037556946525, SYMBOLIC: -0.003341256938620002
AVG R2 SCORE: -2.121110863534617, SYMBOLIC: NaN
AVG R2 SCORE: 0.23927262516557415, SYMBOLIC: 0.08389299474212622
AVG R2 SCORE: 0.7836359138546884, SYMBOLIC: 0.7679019357848691
AVG R2 SCORE: -1.0044270486386373, SYMBOLIC: -1.3830459092732346
AVG R2 SCORE: 0.5049884151852579, SYMBOLIC: 0.37640243458882466
AVG R2 SCORE: 0.5177869624544026, SYMBOLIC: NaN
AVG R2 SCORE: 0.9680431008652648, SYMBOLIC: 0.9681398383333757
AVG R2 SCORE: 0.954114166912509, SYMBOLIC: 0.9538129599459356
AVG R2 SCORE: -0.9626405945856963, SYMBOLIC: -0.9615480061544609
AVG R2 SCORE: -0.0016514131052335068, SYMBOLIC: -0.002429381072427822
AVG R2 SCORE: -1.7009604152501971, SYMBOLIC: -0.17499331590355977
AVG R2 SCORE: 0.7625625243750879, SYMBOLIC: 0.7603485004575605
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.014441324264643118, SYMBOLIC: 0.01406916688525453
AVG R2 SCORE: 0.9782731354605116, SYMBOLIC: NaN
AVG R2 SCORE: 0.41651956710432725, SYMBOLIC: 0.45411515159997806
AVG R2 SCORE: 0.36415078128669587, SYMBOLIC: 0.3588345576489919
AVG R2 SCORE: 0.6750532909570891, SYMBOLIC: NaN
AVG R2 SCORE: 6.679313324009506e-05, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.014627641437622269, SYMBOLIC: 0.014091822084576405
AVG R2 SCORE: 0.9849152625128785, SYMBOLIC: 0.983301290423265
AVG R2 SCORE: 0.9722815859280145, SYMBOLIC: 0.9727711989461258
AVG R2 SCORE: 0.9427285429884439, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -0.3778573211317866, SYMBOLIC: -0.36574645081840584
AVG R2 SCORE: 0.38263647963508446, SYMBOLIC: 0.38285053595816165
AVG R2 SCORE: 0.16986891531263065, SYMBOLIC: NaN
