AVG R2 SCORE: 0.9925521854803115, SYMBOLIC: 0.9845634302820978
AVG R2 SCORE: 0.9984624254494121, SYMBOLIC: 0.9983284109813197
AVG R2 SCORE: 0.989656728738631, SYMBOLIC: 0.9897055537297292
AVG R2 SCORE: 0.9972975144729116, SYMBOLIC: 0.9973456835776237
AVG R2 SCORE: 0.9988507741984722, SYMBOLIC: 0.9964012134627788
AVG R2 SCORE: 0.9955264624596873, SYMBOLIC: 0.994350819524564
AVG R2 SCORE: 0.9952291053951274, SYMBOLIC: 0.9369891572989338
AVG R2 SCORE: 0.9029725159102362, SYMBOLIC: 0.9015394229760747
AVG R2 SCORE: 0.9961959531539523, SYMBOLIC: 0.9824262884846596
AVG R2 SCORE: 0.9901962819574964, SYMBOLIC: 0.9899481167991068
AVG R2 SCORE: 0.9977074217671646, SYMBOLIC: 0.9973706208457485
