AVG R2 SCORE: 0.8929257534149628, SYMBOLIC: 0.8988323778958367
AVG R2 SCORE: 0.033950179008723436, SYMBOLIC: 0.031601848938347166
AVG R2 SCORE: 0.09691189466306205, SYMBOLIC: 0.12919807762387525
AVG R2 SCORE: 0.8973434671561333, SYMBOLIC: 0.874904485595321
AVG R2 SCORE: 0.08959239688429188, SYMBOLIC: 0.09418449038316634
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -0.00028536837413351, SYMBOLIC: -0.00012335521527417903
AVG R2 SCORE: 0.9556786834616455, SYMBOLIC: 0.9479246102801768
AVG R2 SCORE: 0.9581765986611808, SYMBOLIC: 0.9556975121803921
AVG R2 SCORE: 0.9036153160972281, SYMBOLIC: 0.8712577379069021
AVG R2 SCORE: 0.9648284607189977, SYMBOLIC: -601.4579750893723
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -0.0023334677022368577, SYMBOLIC: 0.004278515221524448
AVG R2 SCORE: -0.01209921821342319, SYMBOLIC: 0.01372250595414648
AVG R2 SCORE: -0.0015454645475592166, SYMBOLIC: NaN
AVG R2 SCORE: 0.9764293473590029, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.9689758283677976, SYMBOLIC: 0.943704955674374
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.16150860393998256, SYMBOLIC: 0.16879708946174887
AVG R2 SCORE: 0.9490372445234782, SYMBOLIC: 0.9420916848732602
AVG R2 SCORE: 0.982799921634633, SYMBOLIC: 0.952805494270748
AVG R2 SCORE: 0.9676807246225483, SYMBOLIC: 0.49582418458237787
AVG R2 SCORE: 0.923426261622553, SYMBOLIC: 0.32737921414523574
AVG R2 SCORE: 0.9863513393065255, SYMBOLIC: 0.6519433437229089
