AVG R2 SCORE: 0.477866275966495, SYMBOLIC: 0.48893791501192496
AVG R2 SCORE: 0.9681442446977395, SYMBOLIC: 0.9537630996638227
AVG R2 SCORE: 0.8593803987751427, SYMBOLIC: 0.8262645631885336
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.9796461659303228, SYMBOLIC: 0.971748442136935
AVG R2 SCORE: 0.99681779008126, SYMBOLIC: 0.9744812374547701
AVG R2 SCORE: 0.9724794245114643, SYMBOLIC: 0.9617609225132535
AVG R2 SCORE: 0.9948602064869039, SYMBOLIC: 0.9805059296413503
AVG R2 SCORE: 0.8922531565068458, SYMBOLIC: 0.8640322146297766
AVG R2 SCORE: 0.9555590843121875, SYMBOLIC: 0.9498030945327056
AVG R2 SCORE: 0.991671440359516, SYMBOLIC: 0.9620823678594691
AVG R2 SCORE: 0.9958969792261748, SYMBOLIC: 0.5796992685535975
AVG R2 SCORE: 0.9665318366629361, SYMBOLIC: 0.9636362103545989
AVG R2 SCORE: 0.9579547514607533, SYMBOLIC: 0.9498569268544852
AVG R2 SCORE: 0.9876617201360711, SYMBOLIC: NaN
AVG R2 SCORE: 0.8149907700112158, SYMBOLIC: 0.7770217803678678
AVG R2 SCORE: 0.9776144610771367, SYMBOLIC: 0.9513024512167811
AVG R2 SCORE: 0.9425718684868398, SYMBOLIC: 0.8779966733648197
AVG R2 SCORE: 0.958014879120596, SYMBOLIC: 0.9309063109739215
AVG R2 SCORE: 0.977167234967867, SYMBOLIC: 0.9715634886261
AVG R2 SCORE: -0.00032558326469178667, SYMBOLIC: NaN
AVG R2 SCORE: 0.9572531119399672, SYMBOLIC: 0.924087770558321
AVG R2 SCORE: 0.9651179124453536, SYMBOLIC: 0.9453817647059508
AVG R2 SCORE: -0.002685264194320469, SYMBOLIC: 0.004726228475929517
AVG R2 SCORE: 0.9886725322438283, SYMBOLIC: 0.9843008905493498
AVG R2 SCORE: 0.9862355587796541, SYMBOLIC: 0.9620126048241706
AVG R2 SCORE: -0.9531277870898291, SYMBOLIC: -0.940037240587587
AVG R2 SCORE: 0.9957495991542523, SYMBOLIC: 0.9854256154452604
AVG R2 SCORE: 0.9646482312180744, SYMBOLIC: 0.9616822768681136
AVG R2 SCORE: 0.9753111348454007, SYMBOLIC: 0.9658757450013051
AVG R2 SCORE: 0.8713264359976562, SYMBOLIC: 0.8494725800782442
AVG R2 SCORE: 0.9869721280758187, SYMBOLIC: 0.6263014722769937
AVG R2 SCORE: 0.9554314631506952, SYMBOLIC: 0.9546449389048933
AVG R2 SCORE: 0.9958711486240316, SYMBOLIC: 0.9855929814225709
AVG R2 SCORE: 0.975910519257721, SYMBOLIC: 0.97260648075689
AVG R2 SCORE: 0.9741011550596876, SYMBOLIC: 0.9646984681720274
AVG R2 SCORE: 0.9880059997633592, SYMBOLIC: 0.974182324911103
AVG R2 SCORE: 0.9907326106531039, SYMBOLIC: 0.9835594765095832
AVG R2 SCORE: 0.975020614680023, SYMBOLIC: 0.9718819776794682
AVG R2 SCORE: 0.9972245910908479, SYMBOLIC: 0.981983616142442
AVG R2 SCORE: 0.9753019902482931, SYMBOLIC: 0.9727330707797188
AVG R2 SCORE: 0.9744486358463011, SYMBOLIC: 0.9638495843546612
AVG R2 SCORE: 0.9887800367848043, SYMBOLIC: 0.9827635741454003
AVG R2 SCORE: 0.9729750063009972, SYMBOLIC: 0.9641223018921281
AVG R2 SCORE: 0.8670392338978206, SYMBOLIC: NaN
AVG R2 SCORE: 0.9195686002361987, SYMBOLIC: 0.899959512390289
AVG R2 SCORE: 0.9509126662023432, SYMBOLIC: 0.9390840711533072
AVG R2 SCORE: 0.9751503132901844, SYMBOLIC: 0.9724742594886062
AVG R2 SCORE: 0.9938425046090037, SYMBOLIC: 0.9839879649664202
AVG R2 SCORE: 0.9740385833097053, SYMBOLIC: 0.9492429060726401
AVG R2 SCORE: 0.9958045502169632, SYMBOLIC: 0.9784757239610384
AVG R2 SCORE: 0.9328687127150882, SYMBOLIC: 0.9240401432732638
AVG R2 SCORE: 0.8909107245729003, SYMBOLIC: -0.2131406914038223
AVG R2 SCORE: 0.9811249913493671, SYMBOLIC: 0.9627976252877706
AVG R2 SCORE: 0.9971533079156135, SYMBOLIC: 0.9661384387555206
AVG R2 SCORE: 0.9313017800163064, SYMBOLIC: 0.9215193296079127
AVG R2 SCORE: 0.9668041748935492, SYMBOLIC: 0.9567217969912756
AVG R2 SCORE: 0.9828822525628265, SYMBOLIC: 0.9757508459964529
AVG R2 SCORE: 0.9768493006520601, SYMBOLIC: 0.9717537577132895
AVG R2 SCORE: 0.9856056248556234, SYMBOLIC: 0.975720076633359
AVG R2 SCORE: 0.9758267021537237, SYMBOLIC: 0.9718556563574996
AVG R2 SCORE: 0.564685799085038, SYMBOLIC: 0.5143405251668995
AVG R2 SCORE: 0.8963414983672864, SYMBOLIC: -0.6821308874256049
AVG R2 SCORE: 0.7886614056233873, SYMBOLIC: 0.527138907386629
AVG R2 SCORE: 0.9731845293530788, SYMBOLIC: 0.9585468427225324
AVG R2 SCORE: 0.9750064271566394, SYMBOLIC: 0.9725219350391963
AVG R2 SCORE: 0.9944922094391676, SYMBOLIC: 0.9846435440788104
AVG R2 SCORE: 0.999358905272439, SYMBOLIC: 0.8391978005435471
AVG R2 SCORE: 0.8064027821292101, SYMBOLIC: 0.8028361431224287
