AVG R2 SCORE: -0.8085254833772499, SYMBOLIC: NaN
AVG R2 SCORE: -2.0232847562451957, SYMBOLIC: NaN
AVG R2 SCORE: -6.256300363390678, SYMBOLIC: NaN
AVG R2 SCORE: -1.0273822050327779, SYMBOLIC: NaN
AVG R2 SCORE: -1.1408308384533543, SYMBOLIC: NaN
AVG R2 SCORE: -0.6458319533124091, SYMBOLIC: NaN
AVG R2 SCORE: -0.6578071853176035, SYMBOLIC: NaN
AVG R2 SCORE: -2.130542092091761, SYMBOLIC: NaN
AVG R2 SCORE: -1.2796214015438885, SYMBOLIC: NaN
AVG R2 SCORE: -0.13946386682225745, SYMBOLIC: NaN
AVG R2 SCORE: -2.253674194747003, SYMBOLIC: NaN
AVG R2 SCORE: -1.0216722268846719, SYMBOLIC: NaN
AVG R2 SCORE: -1.5220730429243006, SYMBOLIC: NaN
AVG R2 SCORE: 0.16256722559205475, SYMBOLIC: NaN
AVG R2 SCORE: 0.10186240349922193, SYMBOLIC: NaN
AVG R2 SCORE: 0.5566337195843271, SYMBOLIC: NaN
AVG R2 SCORE: 0.13485629382995137, SYMBOLIC: NaN
AVG R2 SCORE: -0.46934748955259464, SYMBOLIC: NaN
AVG R2 SCORE: 0.44739494855106426, SYMBOLIC: NaN
AVG R2 SCORE: 0.4738983207799801, SYMBOLIC: 0.47341140317275987
AVG R2 SCORE: 0.44736924853244536, SYMBOLIC: NaN
AVG R2 SCORE: 0.4681639779126894, SYMBOLIC: NaN
AVG R2 SCORE: -1.0781431677591427, SYMBOLIC: NaN
AVG R2 SCORE: -0.8655969486529674, SYMBOLIC: NaN
AVG R2 SCORE: -3.888741908324404, SYMBOLIC: NaN
AVG R2 SCORE: NaN, SYMBOLIC: NaN
