AVG R2 SCORE: 0.9870544571666795, SYMBOLIC: 0.9864958396082213
AVG R2 SCORE: 0.9890399965637963, SYMBOLIC: 0.9872795324853954
AVG R2 SCORE: 0.9818290857869496, SYMBOLIC: 0.979908058270884
AVG R2 SCORE: 0.9854289753281127, SYMBOLIC: 0.9852573052352875
AVG R2 SCORE: 0.9871999900397324, SYMBOLIC: 0.9827524481195364
AVG R2 SCORE: 0.9873401826913999, SYMBOLIC: 0.9838946202681006
AVG R2 SCORE: -1.1053332404642457e-06, SYMBOLIC: NaN
AVG R2 SCORE: 0.9893161598206387, SYMBOLIC: 0.9827073846094443
AVG R2 SCORE: 0.030342752242207005, SYMBOLIC: 0.028714743969392054
AVG R2 SCORE: 0.9883204211098902, SYMBOLIC: 0.9866109015320087
AVG R2 SCORE: 0.0007578471978015866, SYMBOLIC: 0.00015485106560336748
AVG R2 SCORE: 0.9839506377907432, SYMBOLIC: 0.9794402897191852
AVG R2 SCORE: 0.4467737065320315, SYMBOLIC: 0.06408705985201779
AVG R2 SCORE: 0.9875474028712624, SYMBOLIC: 0.9859420013224205
AVG R2 SCORE: 0.96353345470543, SYMBOLIC: 0.935530194958168
AVG R2 SCORE: 0.969081805188407, SYMBOLIC: 0.9685317484394147
AVG R2 SCORE: 0.9851837670120538, SYMBOLIC: 0.9840858392808668
AVG R2 SCORE: 0.9820751220331898, SYMBOLIC: 0.980887444639754
AVG R2 SCORE: 0.9810099801476282, SYMBOLIC: 0.9808090256400227
AVG R2 SCORE: 0.9462069108819633, SYMBOLIC: 0.9493263716067067
AVG R2 SCORE: 0.9777876166513038, SYMBOLIC: 0.9130962941154277
AVG R2 SCORE: 0.9437232632547049, SYMBOLIC: 0.9447352589279704
AVG R2 SCORE: 0.9801823885100919, SYMBOLIC: 0.9745877873960578
AVG R2 SCORE: 0.7832567646193849, SYMBOLIC: 0.733035355484189
AVG R2 SCORE: 0.978614109259063, SYMBOLIC: 0.9773753633059888
AVG R2 SCORE: 0.9905712683252275, SYMBOLIC: 0.9606803567705375
AVG R2 SCORE: 0.006618340309662324, SYMBOLIC: 0.004332917235636113
AVG R2 SCORE: 0.9787559342337724, SYMBOLIC: 0.9768058793388176
AVG R2 SCORE: 0.9486777334194413, SYMBOLIC: 0.9459476732712756
AVG R2 SCORE: 0.9609937743719115, SYMBOLIC: 0.958821221270449
AVG R2 SCORE: 0.9812075674993916, SYMBOLIC: 0.9781823941100808
AVG R2 SCORE: 0.9792301264755733, SYMBOLIC: 0.9501885946125899
AVG R2 SCORE: 0.9450740233040346, SYMBOLIC: 0.94632969632376
AVG R2 SCORE: 0.9883679361644171, SYMBOLIC: 0.9858955454347036
AVG R2 SCORE: 0.9766016147837826, SYMBOLIC: 0.9771366246403148
AVG R2 SCORE: 0.9801799971357469, SYMBOLIC: 0.9806940831413523
AVG R2 SCORE: 0.9854374360417302, SYMBOLIC: 0.9819912812272382
AVG R2 SCORE: -1.455242218915716, SYMBOLIC: NaN
AVG R2 SCORE: 0.8730829746314188, SYMBOLIC: 0.889663054957084
AVG R2 SCORE: 0.970556891679113, SYMBOLIC: 0.9715252355020335
AVG R2 SCORE: 0.9915689991663215, SYMBOLIC: 0.9887076030512457
AVG R2 SCORE: 0.7472203448018626, SYMBOLIC: 0.753800100433438
AVG R2 SCORE: 0.9872941251878222, SYMBOLIC: 0.9840508574783141
AVG R2 SCORE: 0.9898298780276654, SYMBOLIC: NaN
AVG R2 SCORE: 0.01373457845170492, SYMBOLIC: 0.01614132155711842
AVG R2 SCORE: 0.9850152555710983, SYMBOLIC: 0.9836800789836608
AVG R2 SCORE: 0.003448237608776855, SYMBOLIC: 0.002744186303129892
AVG R2 SCORE: 0.9850093927390966, SYMBOLIC: 0.9827703411417417
AVG R2 SCORE: 0.8012568078598481, SYMBOLIC: 0.7155787678309555
